;doc_id;relation;used;used_Felix;Anmerkung;ner;sentence;pre_sentence;post_sentence;section_name;section_index
26769;0ecd4fdce541317b38124967b5c2a259d8f43c91;Method;0;;;bandit algorithm;UCT uses a variation of UCB1 , a bandit algorithm , to choose which child node to visit next .;The UCT algorithm , developed by kocsis_06 , deals with the exploration - exploitation dilemma by treating each node of a search tree as a multi - armed bandit problem .;A common practice is to apply a - step random simulation at the end of each leaf node to obtain an estimate from a longer trajectory .;UCT : Upper Confidence Bounds Applied to Trees .;19
47859;1c7e078611c9df412e6eb3a356f31a0da0c1f99c;Method;0;;?;loss functions;Two new loss functions are introduced for rotation estimation , with the ShapeMatch - Loss designed for symmetric objects .;The 3D rotation is predicted by regressing to a quaternion representation .;As a result , PoseCNN is able to handle occlusion and symmetric objects in cluttered scenes .;CONCLUSIONS;19
63214;27c761258329eddb90b64d52679ff190cb4527b5;Method;1;;?;deep residual model;Inspired by the deep residual model [ reference ] , RCNN [ reference ] , and UNet [ reference ] , we propose two models for segmentation tasks which are named RU - Net and R2U - Net .;;These two approaches utilize the strengths of all three recently developed deep learning models .;III . RU - NET AND R2U - NET ARCHITECTURES;4
46772;1bc072002d97808340b312b69427baf2dc9fcb8e;Method;1;;;regularisation technique;For example , the L2 regularisation for FNN in Figure [ reference ] is On the other hand , dropout is a technique which becomes a popular and effective regularisation technique for deep learning during the recent years .;To prevent overfitting , the widely used L2 regularisation term is added to the loss function .;We also implement this regularisation and compare them in our experiment .;Regularisation;6
52868;20926884a62778a2bf3f9f3c56f30976749ad763;Method;0;;;bounded linear operator;We assume there exists a bounded linear operator : ΓΦ→HrHx such that = ⟨fYt , ⁢kx ( ⁢Ψ ( r ), ⋅ ) ⟩Hx⟨fYt , ⁢ΓΦkr ( r , ⋅ ) ⟩Hx .;Let : Φ→XY be an invertible representation function , and let Ψ be its inverse .;We further assume that the Hilbert - Schmidt norm ( operator norm ) ∥ΓΦ∥⁢HS of ΓΦ is bounded by KΦ .;.;68
87607;37a18be8c599b781cc28b6a62d8f11e8a6a75169;Method;1;;;asymmetrically large encoder;We follow the encoder - decoder structure of CNN , with asymmetrically large encoder to extract deep image features , and the decoder part reconstructs dense segmentation masks .;In this work , we describe our semantic segmentation approach for volumetric 3D brain tumor segmentation from multimodal 3D MRIs , which won the BraTS 2018 challenge .;We also add the variational autoencoder ( VAE ) branch to the network to reconstruct the input images jointly with segmentation in order to regularize the shared encoder .;Introduction;1
58871;23dcfda130aada27c158c0b5f394cac489c9c795;Method;0;;;ResNet50;We do however use a more powerful backbone network in ResNet50 .;We do not use any other supervisory information which might improve the performance of the network such as 2D landmark annotations .;We show performance of the same network on both the AFLW test - set and AFW .;AFLW and AFW Benchmarking;12
90878;3a8d537bcec370d37990d39eab01c729496ad057;Method;0;;;image classification methods;Early efforts often combined simple image classification methods with hand - crafted shape descriptors , requiring intensive effort on the side of the human data annotator .;3D object recognition is a well - studied problem in the computer vision literature .;However , ever since the ImageNet contest of 2012 , deep convolutional networks ( ConvNets ) have swept the vision industry , becoming nearly ubiquitous in countless applications .;Related Work;2
14683;0891ed6ed64fb461bc03557b28c686f87d880c9a;Method;0;;;Unsupervised learning;Unsupervised learning from unannotated corpora offers an alternative strategy for obtaining better generalization from small amounts of supervision .;Unfortunately , language - specific resources and features are costly to develop in new languages and new domains , making NER a challenge to adapt .;However , even systems that have relied extensively on unsupervised features have used these to augment , rather than replace , hand - engineered features ( e.g. , knowledge about capitalization patterns and character classes in a particular language ) and specialized knowledge resources ( e.g. , gazetteers ) .;Introduction;1
850;007ab5528b3bd310a80d553cccad4b78dc496b02;Method;1;;;Bi - Directional Attention Flow;In this paper we introduce the Bi - Directional Attention Flow ( BiDAF ) network , a multi - stage hierarchical process that represents the context at different levels of granularity and uses bi - directional attention flow mechanism to obtain a query - aware context representation without early summarization .;Typically these methods use attention to focus on a small portion of the context and summarize it with a fixed - size vector , couple attentions temporally , and / or often form a uni - directional attention .;Our experimental evaluations show that our model achieves the state - of - the - art results in Stanford Question Answering Dataset ( SQuAD ) and CNN / DailyMail cloze test .;Bi - Directional Attention Flow for Machine Comprehension;0
35577;143a3186c368544ded00a444be33153420baa254;Method;0;;;policy gradient algorithms;Practical implementations of this method may also use a variety of improvements recently proposed for policy gradient algorithms , including state or action - dependent baselines and trust regions [ reference ] .;This algorithm has the same structure as Algorithm 2 , with the principal difference being that steps 5 and 8 require sampling trajectories from the environment corresponding to task T i .;;Algorithm 3 MAML for Reinforcement Learning;11
39472;15e81c8d1c21f9e928c72721ac46d458f3341454;Method;1;;;fertility inference function;As described above , we supervise the fertility predictions at train time by using a fixed aligner as a fertility inference function .;;We use the fast_alignhttps: // github.com / clab / fast_align implementation of IBM Model 2 for this purpose , with default parameters dyer2013simple .;Fertility supervision during training;32
50832;1e7678467b1807777dcd9be557b79328ce9419a8;Method;0;;;AutoAugment data augmentation;Note , the AutoAugment data augmentation does not transfer well to the retrieval tasks .;Overall , the different elements employed in our architecture ( RA and the layers specific to Multigrain ) still give a significant improvement over simply using the activations , and is competitive with the state of the art for the same resolution / complexity .;This can be explained by their specificity to Imagenet classification .;Additional results and ablation study for Multigrain in retrieval;39
